Time_s,GateDisplacement_cm,LiftSpeed_cm_per_s
0,-0,-0
0.0166833323490059,-0,-0
0.0333666646980117,-0,-0
0.0500499970470176,-0,-0
0.0667333293960235,-0,-0
0.0834166617450293,-0,-0
0.100099994094035,-0,-0
0.116783326443041,-0,-0
0.133466658792047,-0,-0
0.150149991141053,-0,-0
0.166833323490059,-0,-0
0.183516655839064,-0,-0
0.20019998818807,-0,-0
0.216883320537076,-0,-0
0.233566652886082,-0,-0
0.250249985235088,-0,-0
0.266933317584094,-0,-0
0.2836166499331,-0,-0
0.300299982282106,-0,-0
0.316983314631111,-0,-0
0.333666646980117,-0,-0
0.350349979329123,-0,-0
0.367033311678129,-0,-0
0.383716644027135,-0,-0
0.400399976376141,-0,-0
0.417083308725147,-0,-0
0.433766641074152,-0,-0
0.450449973423158,-0,-0
0.467133305772164,-0,-0
0.48381663812117,-0,-0
0.500499970470176,-0,-0
0.517183302819182,-0,-0
0.533866635168188,-0,-0
0.550549967517194,-0,-0
0.567233299866199,-0,-0
0.583916632215205,-0,-0
0.600599964564211,-0,-0
0.617283296913217,-0,-0
0.633966629262223,-0,-0
0.650649961611229,-0,-0
0.667333293960235,-0,-0
0.68401662630924,-0,-0
0.700699958658246,-0,-0
0.717383291007252,-0,-0
0.734066623356258,-0,-0
0.750749955705264,-0,-0
0.76743328805427,-0,-0
0.784116620403276,-0,-0
0.800799952752281,-0,-0
0.817483285101287,-0,-0
0.834166617450293,-0,-0
0.850849949799299,-0,-0
0.867533282148305,-0,-0
0.884216614497311,-0,-0
0.900899946846317,-0,-0
0.917583279195322,-0,-0
0.934266611544328,-0,-0
0.950949943893334,-0,-0
0.96763327624234,-0,-0
0.984316608591346,-0,-0
1.00099994094035,-0,-0
1.01768327328936,-0,-0
1.03436660563836,-0,-0
1.05104993798737,-0,-0
1.06773327033638,-0,-0
1.08441660268538,-0,-0
1.10109993503439,-0,-0
1.11778326738339,-0,-0
1.1344665997324,-0,-0
1.1511499320814,-0,-0
1.16783326443041,-0,-0
1.18451659677942,-0,-0
1.20119992912842,-0,-0
1.21788326147743,-0,-0
1.23456659382643,-0,-0
1.25124992617544,-0,-0
1.26793325852445,-0,-0
1.28461659087345,-0,-0
1.30129992322246,-0,-0
1.31798325557146,-0,-0
